id,category_id,category_name,question,correct_answer,incorrect_1,incorrect_2,incorrect_3,difficulty
57,6,Technology,How many bits make up the significand portion of a single precision floating point number?,23,8,53,15,medium
58,6,Technology,Unix Time is defined as the number of seconds that have elapsed since when?,"Midnight, January 1, 1970","Midnight, July 4, 1976",Midnight on the creator of Unix's birthday,"Midnight, July 4, 1980",medium
59,6,Technology,"What is known as ""the brain"" of the Computer?",Central Processing Unit,Motherboard,Graphics Processing Unit,Keyboard,medium
60,6,Technology,What does the computer software acronym JVM stand for?,Java Virtual Machine,Java Vendor Machine,Java Visual Machine,Just Virtual Machine,easy
61,6,Technology,All of the following programs are classified as raster graphics editors EXCEPT:,Inkscape,Paint.NET,GIMP,Adobe Photoshop,medium
62,6,Technology,What does the 'S' in the RSA encryption algorithm stand for?,Shamir,Secure,Schottky,Stable,medium
63,6,Technology,"Generally which component of a computer draws the most power?",Video Card,Hard Drive,Processor,Power Supply,medium
64,6,Technology,The numbering system with a radix of 16 is more commonly referred to as,Hexidecimal,Binary,Duodecimal,Octal,easy
65,6,Technology,"Released in 2001 the first edition of Apple's Mac OS X operating system (version 10.0) was given what animal code name?",Cheetah,Puma,Tiger,Leopard,hard
66,6,Technology,Who is the founder of Palantir?,Peter Thiel,Mark Zuckerberg,Marc Benioff,Jack Dorsey,hard
67,6,Technology,"In web design what does CSS stand for?",Cascading Style Sheet,Counter Strike: Source,Corrective Style Sheet,Computer Style Sheet,easy
68,6,Technology,Which of these is not a layer in the OSI model for data communications?,Connection Layer,Application Layer,Transport Layer,Physical Layer,hard
69,6,Technology,Laserjet and inkjet printers are both examples of what type of printer?,Non-impact printer,Impact printer,Daisywheel printer,Dot matrix printer,medium
70,6,Technology,"The acronym ""RIP"" stands for which of these?",Routing Information Protocol,Runtime Instance Processes,Regular Interval Processes,Routine Inspection Protocol,hard
71,6,Technology,If you were to code software in this language you'd only be able to type 0's and 1's.,Binary,JavaScript,C++,Python,easy
72,6,Technology,Which of these is not a key value of Agile software development?,Comprehensive documentation,Individuals and interactions,Customer collaboration,Responding to change,hard
73,6,Technology,What was the name of the security vulnerability found in Bash in 2014?,Shellshock,Heartbleed,Bashbug,Stagefright,hard
74,6,Technology,What major programming language does Unreal Engine 4 use?,C++,Assembly,C#,ECMAScript,hard
75,6,Technology,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,Pixar Teapot,3D Teapot,Tennessee Teapot,medium
76,6,Technology,What does AD stand for in relation to Windows Operating Systems?,Active Directory,Alternative Drive,Automated Database,Active Department,medium
77,6,Technology,"What does the ""MP"" stand for in MP3?",Moving Picture,Music Player,Multi Pass,Micro Point,easy
78,6,Technology,What was the name given to Android 4.3?,Jelly Bean,Lollipop,Nutella,Froyo,medium
79,6,Technology,Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?,Cherry MX Blue,Cherry MX Black,Cherry MX Red,Cherry MX Brown,hard
80,6,Technology,Which of these programming languages is a low-level language?,Assembly,Python,C#,Pascal,medium
81,6,Technology,What did the name of the Tor Anonymity Network orignially stand for?,The Onion Router,The Only Router,The Orange Router,The Ominous Router,medium
82,6,Technology,"When did the online streaming service ""Mixer"" launch?",2016,2013,2009,2011,medium
83,6,Technology,Nvidia's headquarters are based in which Silicon Valley city?,Santa Clara,Palo Alto,Cupertino,Mountain View,medium
84,6,Technology,Which of the following computer components can be built using only NAND gates?,ALU,CPU,RAM,Register,hard
85,6,Technology,"In computing, what does LAN stand for?",Local Area Network,Long Antenna Node,Light Access Node,Land Address Navigation,easy
86,6,Technology,In the server hosting industry IaaS stands for...,Infrastructure as a Service,Internet as a Service,Internet and a Server,Infrastructure as a Server,medium
87,6,Technology,"Which company was established on April 1st 1976 by Steve Jobs Steve Wozniak and Ronald Wayne?",Apple,Microsoft,Atari,Commodore,easy
88,6,Technology,Which of these people was NOT a founder of Apple Inc?,Jonathan Ive,Steve Jobs,Ronald Wayne,Steve Wozniak,medium
89,6,Technology,How many bytes are in a single Kibibyte?,1024,2400,1000,1240,medium
90,6,Technology,On which day did the World Wide Web go online?,20-Dec-90,17-Dec-96,12-Nov-90,24-Nov-95,medium
91,6,Technology,What does LTS stand for in the software market?,Long Term Support,Long Taco Service,Ludicrous Transfer Speed,Ludicrous Turbo Speed,easy
92,6,Technology,Which coding language was the #1 programming language in terms of usage on GitHub in 2015?,JavaScript,C#,Python,PHP,medium
93,6,Technology,This mobile OS held the largest market share in 2012.,iOS,Android,BlackBerry,Symbian,easy
94,6,Technology,"The Electron computer was released in Britain during 1983 for the home computing market by which company? ",Acorn Computers,Sinclair Research,Amstrad PLC,Commodore Business Machines,easy
95,6,Technology,"While Apple was formed in California in which western state was Microsoft founded?",New Mexico,Washington,Colorado,Arizona,medium
96,6,Technology,What programming language was GitHub written in?,Ruby,JavaScript,Python,Lua,easy
97,6,Technology,What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,Session,Data link,Network,hard
98,6,Technology,How many kilobytes in one gigabyte (in decimal)?,1000000,1024,1000,1048576,easy
99,6,Technology,How many values can a single byte represent?,256,8,1,1024,easy
100,6,Technology,"Australia Japan and Southeast Asia are in which ITU Region?",Region 3,Region 1,Region 2,Region 4,hard
101,7,Animals and Nature,What type of creature is a Bonobo?,Ape,Lion,Parrot,Wildcat,hard
102,7,Animals and Nature,What is the collective noun for rats?,Mischief,Pack,Race,Drift,medium
103,7,Animals and Nature,"""Decapods"" are an order of ten-footed crustaceans.  Which of these are NOT decapods?",Krill,Lobsters,Shrimp,Crabs,medium
104,7,Animals and Nature,"The dish Fugu is made from what family of fish?",Pufferfish,Bass,Salmon,Mackerel,medium
105,7,Animals and Nature,Which of the following is true when alligators are behaving territorially?,They bellow while showing their tail and neck,Open their jaws while making a clicking noise,They run full force at the threat,Slap their tails on the ground,medium
106,7,Animals and Nature,Hippocampus is the Latin name for which marine creature?,Seahorse,Dolphin,Whale,Octopus,easy
107,7,Animals and Nature,What is the common term for bovine spongiform encephalopathy (BSE)?,Mad Cow disease,Weil's disease,Milk fever,Foot-and-mouth disease,medium
108,7,Animals and Nature,What is the collective noun for bears?,Sloth,Drove,Tribe,Husk,medium
109,7,Animals and Nature,What was the name of the Ethiopian Wolf before they knew it was related to wolves?,Simien Jackel,Ethiopian Coyote,Amharic Fox,Canis Simiensis,hard
110,7,Animals and Nature,What is the name of a rabbit's abode?,Burrow,Nest,Den,Dray,easy
111,7,Animals and Nature,"To which biological phylum do all mammals, birds and reptiles belong?",Chordata,Echinodermata,Annelida,Placazoa,hard
112,7,Animals and Nature,Which animal was part of an Russian domestication experiment in 1959?,Foxes,Pigeons,Bears,Alligators,medium
113,7,Animals and Nature,What is Grumpy Cat's real name?,Tardar Sauce,Sauce,Minnie,Broccoli,easy
114,7,Animals and Nature,What is the scientific name of the Common Chimpanzee?,Pan troglodytes,Gorilla gorilla,Pan paniscus,Panthera leo,medium
115,7,Animals and Nature,What is the collective noun for a group of crows?,Murder,Pack,Gaggle,Herd,easy
116,7,Animals and Nature,What are the scales on all snakes and most lizards are made of?,Keratin,Ecdysis,Epidermis,Ankyloglossia,medium
117,7,Animals and Nature,What is the name of the copper-rich protein that creates the blue blood in the Antarctic octopus?,Hemocyanin,Cytochrome,Iron,Methionine,hard
118,7,Animals and Nature,Which of the following is NOT a venomous snake?,Reticulated python,Malayan Krait,Yellow bellied sea snake,Black mamba,medium
119,7,Animals and Nature,How many known living species of hyenas are there?,4,8,2,6,hard
120,7,Animals and Nature,What bird is born with claws on its wing digits?,Hoatzin,Cormorant,Cassowary,Secretary bird,hard
121,7,Animals and Nature,What colour is the female blackbird?,Brown,Black,White,Yellow,easy
122,7,Animals and Nature,What is the name of the family that the domestic cat is a member of?,Felidae,Felinae,Felis,Cat,medium
123,7,Animals and Nature,What type of animal is a natterjack?,Toad,Bird,Fish,Insect,medium
124,7,Animals and Nature,What is the fastest animal?,Peregrine Falcon,Golden Eagle,Cheetah,Horsefly,medium
125,7,Animals and Nature,What do you call a baby bat?,Pup,Cub,Chick,Kid,easy
126,7,Animals and Nature,Which species of Brown Bear is not extinct?,Syrian Brown Bear,California Grizzly Bear,Atlas Bear,Mexican Grizzly Bear,hard
127,7,Animals and Nature,How many teeth does an adult rabbit have?,28,30,26,24,easy
128,7,Animals and Nature,What is the scientific name for modern day humans?,Homo Sapiens,Homo Ergaster,Homo Erectus,Homo Neanderthalensis,easy
129,7,Animals and Nature,What color/colour is a polar bear's skin?,Black,White,Pink,Green,medium
130,7,Animals and Nature,"The now extinct species ""Thylacine"" was native to where?","Tasmania, Australia","Baluchistan, Pakistan","Wallachia, Romania","Oregon, United States",medium
131,7,Animals and Nature,Which class of animals are newts members of?,Amphibian,Fish,Reptiles,Mammals,easy
132,7,Animals and Nature,Which of these species is not extinct?,Komodo dragon,Japanese sea lion,Tasmanian tiger,Saudi gazelle,medium
133,7,Animals and Nature,"What is the scientific name for the ""Polar Bear""?",Ursus Maritimus,Polar Bear,Ursus Spelaeus,Ursus Arctos,medium
134,7,Animals and Nature,"The Kākāpō is a large flightless nocturnal parrot native to which country?",New Zealand,South Africa,Australia,Madagascar,easy
135,7,Animals and Nature,"What does ""hippopotamus"" mean and in what langauge?",River Horse (Greek),River Horse (Latin),Fat Pig (Greek),Fat Pig (Latin),medium
136,7,Animals and Nature,What is the scientific name of the cheetah?,Acinonyx jubatus,Panthera onca,Lynx rufus,Felis catus,hard
137,7,Animals and Nature,"Which species is a ""mountain chicken""?",Frog,Chicken,Horse,Fly,hard
138,7,Animals and Nature,"A carnivorous animal eats flesh; what does a nucivorous animal eat?",Nuts,Nothing,Fruit,Seaweed,medium
139,7,Animals and Nature,"By definition where does an abyssopelagic animal live?",At the bottom of the ocean,In the desert,On top of a mountain,Inside a tree,easy
140,7,Animals and Nature,"Which of the following is another name for the ""Poecilotheria Metallica Tarantula""?",Gooty,Hopper,Silver Stripe,Woebegone,hard
141,7,Animals and Nature,What is the world's longest venomous snake?,King Cobra,Green Anaconda,Inland Taipan,Yellow Bellied Sea Snake,medium
142,7,Animals and Nature,What scientific suborder does the family Hyaenidae belong to?,Feliformia,Haplorhini,Caniformia,Ciconiiformes,hard
143,7,Animals and Nature,What is the scientific name of the Budgerigar?,Melopsittacus undulatus,Nymphicus hollandicus,Pyrrhura molinae,Ara macao,hard
144,7,Animals and Nature,"For what reason would a spotted hyena ""laugh""?",Nervousness,Excitement,Aggression,Exhaustion,medium
145,7,Animals and Nature,What dog breed is one of the oldest breeds of dog and has flourished since before 400 BCE.,Pugs,Bulldogs,Boxers,Chihuahua,medium
146,7,Animals and Nature,Which of these is a colony of polyps and not a jellyfish?,Portuguese Man-of-War,Sea Wasp,Irukandji,Sea Nettle,hard
147,7,Animals and Nature,What is the Gray Wolf's scientific name?,Canis Lupus,Canis Aureus,Canis Latrans,Canis Lupus Lycaon,hard
148,7,Animals and Nature,What is the collective noun for vultures?,Wake,Ambush,Building,Gaze,hard
149,7,Animals and Nature,What is the name for a male bee that comes from an unfertilized egg?,Drone,Soldier,Worker,Male,medium
150,7,Animals and Nature,What is the fastest land animal?,Cheetah,Lion,Thomson’s Gazelle,Pronghorn Antelope,easy
